Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SNI_Sal_1_1	0.1981965008526455	1.0609036676606305
SNI_Sal_1_2	0.17685582003038658	0.48364065120884636
SNI_Sal_2_1	1.6575891743210323	12.792938817881126
SNI_Sal_2_2	1.6895018639650272	6.354148709269021
SNI_Sal_3_1	0.2786095511072733	2.621808394840249
SNI_Sal_3_2	0.4145197341704851	2.334307801484083
SNI_Sal_4_1	0.4138871765356736	12.284360606886251
SNI_Sal_4_2	1.219949153202086	5.2481034138284475
SNI_oxy_1_1	1.601528905626068	3.952300438891888
SNI_oxy_1_2	1.6016950415976055	2.104553651447869
SNI_oxy_2_1	0.2971239930040554	1.3858350761639113
SNI_oxy_2_2	0.1386037864669824	0.2577441910153819
SNI_oxy_3_1	0.4396975725680794	3.27154934878157
SNI_oxy_3_2	0.48069776254816454	1.657716672086549
SNI_oxy_4_1	0.1590795691608175	0.23030706422975927
SNI_oxy_4_2	0.14105423981872975	0.1002875753578423
Sham_Sal_1_1	3.837338386869429	12.734315356980716
Sham_Sal_1_2	3.877622318928194	10.865966341379643
Sham_Sal_2_1	0.3932120133749234	1.8600424870573962
Sham_Sal_2_2	0.134931832648314	0.5828683334894099
Sham_Sal_3_1	0.4441286741631258	2.6643690545978758
Sham_Sal_3_2	0.49980789559458305	1.242093994215868
Sham_Sal_4_1	0.24585292848366144	1.4013334148264829
Sham_Sal_4_2	0.2607107508787142	0.10472785361385017
Sham_oxy_1_1	1.0309094057517116	24.57677190047606
Sham_oxy_1_2	1.2808148640367767	20.771445816530072
Sham_oxy_2_1	0.0	0.0
Sham_oxy_2_2	0.1609287205014458	0.12363562693649577
Sham_oxy_3_1	0.2129190934969803	3.2359414970029765
Sham_oxy_3_2	0.2487434170198984	0.8932601143659208
Sham_oxy_4_1	0.2878750517242472	2.043987890845486
Sham_oxy_4_2	0.4216585209286318	1.6170389123716122
