Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SNI_Sal_1_1	0.3324129374309189	1.0897276580088202
SNI_Sal_1_2	0.31831556065674793	0.48135196140100966
SNI_Sal_2_1	3.2113436888947895	12.986196944894516
SNI_Sal_2_2	3.1698899956265016	5.98813523240643
SNI_Sal_3_1	0.5713799527596714	4.6290899317531045
SNI_Sal_3_2	0.5403434835934534	4.18341527247642
SNI_Sal_4_1	0.4273629422842287	13.619270980880271
SNI_Sal_4_2	1.2500081557813414	5.991183865907118
SNI_oxy_1_1	3.0605271648872456	3.763812365533357
SNI_oxy_1_2	3.0497488310444423	1.5232700070494367
SNI_oxy_2_1	0.2990597582788763	1.496712360207147
SNI_oxy_2_2	0.13806712113046782	0.25704677974674583
SNI_oxy_3_1	2.8186552062360515	3.787526069350579
SNI_oxy_3_2	2.867472593660443	2.0804409369823817
SNI_oxy_4_1	0.1883522816177369	0.5310787820765762
SNI_oxy_4_2	0.1855069357381911	0.144885361844952
Sham_Sal_1_1	7.359471692163116	12.85830542633115
Sham_Sal_1_2	7.257796185628193	10.227038712405912
Sham_Sal_2_1	0.4011465902358934	2.0170731108252777
Sham_Sal_2_2	0.1352698943926026	0.6926903967982561
Sham_Sal_3_1	0.9127870203892798	2.750494586204013
Sham_Sal_3_2	0.9016119850729732	1.2320265274699667
Sham_Sal_4_1	4.400068413083697	1.8548764555914348
Sham_Sal_4_2	4.452405185650661	0.5519126267188215
Sham_oxy_1_1	1.9908745697643935	33.74772066546262
Sham_oxy_1_2	1.938447776042814	29.971785338636256
Sham_oxy_2_1	0.12344512783449961	0.0
Sham_oxy_2_2	0.16193257443566497	0.24048265107368264
Sham_oxy_3_1	0.21981071976916616	3.761643832659412
Sham_oxy_3_2	0.25323626254609816	1.0615391142364
Sham_oxy_4_1	0.5662052077071318	3.143952614061469
Sham_oxy_4_2	0.5481307230775835	2.81398928232375
